id,assigned_class,name,sex,score,24년 학급,클럽,좋은관계,나쁜관계,Leadership,Piano,비등교,운동선호
202503,4,Charlie,boy,91,c,야구,,,yes,,,yes
202517,4,Robert B,boy,93,a,코딩,,,,,,
202531,4,Jennifer S,girl,77,f,봉사,,,,,,
202538,4,Chris J,boy,81,b,축구,,,,,,
202544,4,Jennifer L,girl,75,f,댄스,,,,,,
202545,4,William G,boy,97,e,미술,,,yes,,yes,
202546,4,David M,boy,69,e,축구,,,,,,
202563,4,Ashley M,girl,98,f,밴드,,,,,yes,
202588,4,James R,boy,83,b,미술,,,,,,
202593,4,Brian B,boy,73,c,연극,202632.0,,,,,
202597,4,Nicholas S,boy,93,c,노래,,,,,,
202604,4,Jessica W,girl,81,a,봉사,,,,,,
202608,4,Joshua J,boy,72,d,봉사,,,,,,
202617,4,Brandon M,boy,85,c,연극,,,,,,
202619,4,Joseph T,boy,84,f,밴드,,,,,,
202628,4,David J,boy,64,c,야구,202687.0,,,,,
202633,4,Michael J,boy,80,d,댄스,,,,,,
202636,4,Robert M,boy,94,e,노래,,,yes,,,yes
202642,4,Chris W,boy,74,a,야구,,,,,,
202643,4,Brian J,boy,74,b,축구,,,,,,
202646,4,Kimberly G,girl,60,c,노래,,,,,,
202648,4,Jessica J,girl,61,d,연극,,,,yes,,
202650,4,James G,boy,91,f,축구,,,,,,
202665,4,Kevin J,boy,78,b,봉사,,,,,,yes
202667,4,Michael J,boy,92,d,댄스,,,,,,
202668,4,Jessica S,girl,67,b,독서,,,,,,
202670,4,Joshua G,boy,77,a,연극,202615.0,,,,yes,
202678,4,Brandon J,boy,81,a,코딩,,,,,yes,
202679,4,Michael M,boy,73,d,미술,,,,yes,,
202680,4,Andrew M,boy,87,d,연극,,,,,,
202693,4,Jennifer M,girl,64,a,연극,,,,,,
202697,4,Matthew J,boy,88,e,연극,,,,,,
202699,4,Sarah G,girl,76,b,노래,,202644.0,,,,yes
